آ	N$آ+SG
آسیش	N$آسی+SG PRO3SG
آش	N$آش+SG*آ+SG PRO3SG
آشام	N$آشام+SG
آشامان	N$آشام+PL
آشامانیم	N$آشام+PL YEH COP1SG#PL COP1PL
آشامت	N$آشام+SG PRO2SG
آشامش	N$آشام+SG PRO3SG
آشامشان	N$آشام+SG PRO3PL
آشامم	N$آشام+SG COP1SG#SG PRO1SG
آشامند	N$آشام+SG COP3PL
آشامی	N$آشام+SG YEH#SG COP2SG
آشامید	N$آشام+SG COP2PL
آشامیم	N$آشام+SG COP1PL#SG YEH COP1SG
آشتم	N$آش+SG PRO2SG COP1SG
آشتی	N$آش+SG PRO2SG YEH#SG PRO2SG COP2SG*آشتی+SG
آشتیست	N$آش+SG PRO2SG YEH COP3SG*آشتی+SG COP3SG
آشتیی	N$آش+SG PRO2SG YEH COP2SG*آشتی+SG COP2SG#SG EZ
آشتی‌ای	N$آش+SG PRO2SG YEH COP2SG*آشتی+SG COP2SG
آشتی‌شان	N$آشتی+SG PRO3PL
آشفته	N$آشفته+SG
آشفته‌ئی	N$آشفته+SG YEH
آشفته‌ام	N$آشفته+SG COP1SG#SG PRO1SG
آشفته‌اند	N$آشفته+SG COP3PL
آشفته‌ای	N$آشفته+SG COP2SG
آشفته‌اید	N$آشفته+SG COP2PL
آشفته‌ایم	N$آشفته+SG COP1PL
آشفته‌ی	N$آشفته+SG COP2SG#SG EZ
آشفتگان	N$آشفته+PL
آشفتگی	N$آشفتگی+SG
آشفتگیم	N$آشفتگی+SG COP1SG#SG PRO1SG
آشمان	N$آش+SG PRO1PL
آشمید	N$آش+SG PRO1SG COP2PL
آشنا	N$آشنا+SG
آشنائی	N$آشنا+SG YEH
آشنائیست	N$آشنا+SG YEH COP3SG
آشنائیم	N$آشنا+SG YEH COP1SG
آشنات	N$آشنا+SG PRO2SG
آشنارو	N$آشنارو+SG
آشنارویی	N$آشنارو+SG YEH*آشناروی+SG COP2SG#SG EZ
آشناست	N$آشنا+SG COP3SG
آشناش	N$آشنا+SG PRO3SG
آشناه	N$آشناه+SG
آشناهاست	N$آشنا+PL COP3SG
آشناور	N$آشناور+SG
آشنای	N$آشنا+SG COP2SG#SG EZ
آشنایش	N$آشنا+SG PRO3SG
آشنایی	N$آشنایی+SG*آشنا+SG YEH
آشناییت	N$آشنایی+SG PRO2SG
آشناییش	N$آشنایی+SG PRO3SG
آشناییم	N$آشنایی+SG COP1SG#SG PRO1SG*آشنا+SG YEH COP1SG
آشناییهای	N$آشنایی+PL EZ#PL COP2SG
آشناییی	N$آشنایی+SG COP2SG#SG EZ*آشنا+SG YEH COP2SG
آشنایی‌ای	N$آشنایی+SG COP2SG*آشنا+SG YEH COP2SG
آشنایی‌ش	N$آشنایی+SG PRO3SG
آشنایی‌هاست	N$آشنایی+PL COP3SG
آشنایی‌های	N$آشنایی+PL EZ#PL COP2SG
آشوب	N$آشوب+SG
آشوبت	N$آشوب+SG PRO2SG
آشوبست	N$آشوب+SG COP3SG
آشوبشان	N$آشوب+SG PRO3PL
آشوبهای	N$آشوب+PL EZ#PL COP2SG
آشوبی	N$آشوب+SG YEH#SG COP2SG
آشپز	N$آشپز+SG
آشپزیست	N$آشپزی+SG COP3SG*آشپز+SG YEH COP3SG
آشکار	N$آشکار+SG
آشکارا	N$آشکارا+SG
آشکارائی	N$آشکارا+SG YEH
آشکاراست	N$آشکارا+SG COP3SG
آشکاراش	N$آشکارا+SG PRO3SG
آشکارای	N$آشکارا+SG COP2SG#SG EZ
آشکارایی	N$آشکارا+SG YEH
آشکارت	N$آشکار+SG PRO2SG
آشکارست	N$آشکار+SG COP3SG
آشکارستی	N$آشکار+SG COP2SG
آشکارش	N$آشکار+SG PRO3SG
آشکارم	N$آشکار+SG COP1SG#SG PRO1SG
آشکاری	N$آشکار+SG YEH#SG COP2SG
آشکاریست	N$آشکار+SG YEH COP3SG
آشکاریم	N$آشکار+SG COP1PL#SG YEH COP1SG
آشی	N$آش+SG YEH#SG COP2SG*آ+SG PRO3SG YEH#SG PRO3SG COP2SG
آشیان	N$آشیان+SG
آشیانت	N$آشیان+SG PRO2SG
آشیانرا	N$آشیان+SG POSTP
آشیانست	N$آشیان+SG COP3SG
آشیانستی	N$آشیان+SG COP2SG
آشیانش	N$آشیان+SG PRO3SG
آشیانم	N$آشیان+SG COP1SG#SG PRO1SG
آشیانها	N$آشیان+PL
آشیانهای	N$آشیان+PL EZ#PL COP2SG
آشیانی	N$آشیان+SG YEH#SG COP2SG
آشیانیم	N$آشیان+SG COP1PL#SG YEH COP1SG
آشیانی‌ست	N$آشیان+SG YEH COP3SG
آشیان‌ها	N$آشیان+PL
آش‌های	N$آش+PL EZ#PL COP2SG
آصف	N$آصف+SG
آصفان	N$آصف+PL
آصفست	N$آصف+SG COP3SG
آصفش	N$آصف+SG PRO3SG
آصفم	N$آصف+SG COP1SG#SG PRO1SG
آصفی	N$آصف+SG YEH#SG COP2SG
آغا	N$آغا+SG
آغار	N$آغار+SG
آغارم	N$آغار+SG COP1SG#SG PRO1SG
آغاز	N$آغاز+SG
آغازتان	N$آغاز+SG PRO2PL
آغازش	N$آغاز+SG PRO3SG*آغازش+SG
آغازشان	N$آغاز+SG PRO3PL*آغازش+PL
آغازم	N$آغاز+SG COP1SG#SG PRO1SG
آغازی	N$آغاز+SG YEH#SG COP2SG
آغازید	N$آغاز+SG COP2PL
آغازیم	N$آغاز+SG COP1PL#SG YEH COP1SG
آغاش	N$آغا+SG PRO3SG
آغل	N$آغل+SG
آغلها	N$آغل+PL
آغوش	N$آغوش+SG
آغوشت	N$آغوش+SG PRO2SG
آغوشش	N$آغوش+SG PRO3SG
آغوششان	N$آغوش+SG PRO3PL
آغوشم	N$آغوش+SG COP1SG#SG PRO1SG
آغوشند	N$آغوش+SG COP3PL
آغوشی	N$آغوش+SG YEH#SG COP2SG
آفات	N$آفات+SG
آفاتت	N$آفات+SG PRO2SG
آفاتست	N$آفات+SG COP3SG
آفاتش	N$آفات+SG PRO3SG
آفاتشان	N$آفات+SG PRO3PL
آفاتم	N$آفات+SG COP1SG#SG PRO1SG
آفاتها	N$آفات+PL
آفاق	N$آفاق+SG
آفاقش	N$آفاق+SG PRO3SG
آفاقم	N$آفاق+SG COP1SG#SG PRO1SG
آفاقند	N$آفاق+SG COP3PL
آفاقی	N$آفاق+SG YEH#SG COP2SG
آفاقیست	N$آفاق+SG YEH COP3SG
آفاقیم	N$آفاق+SG COP1PL#SG YEH COP1SG
آفت	N$آفت+SG
آفتاب	N$آفتاب+SG
آفتابانند	N$آفتاب+PL COP3PL
آفتابت	N$آفتاب+SG PRO2SG
آفتابست	N$آفتاب+SG COP3SG
آفتابستی	N$آفتاب+SG COP2SG
آفتابش	N$آفتاب+SG PRO3SG
آفتابشان	N$آفتاب+SG PRO3PL
آفتابم	N$آفتاب+SG COP1SG#SG PRO1SG
آفتابند	N$آفتاب+SG COP3PL
آفتابها	N$آفتاب+PL
آفتابی	N$آفتاب+SG YEH#SG COP2SG
آفتابیست	N$آفتاب+SG YEH COP3SG
آفتابیم	N$آفتاب+SG COP1PL#SG YEH COP1SG
آفتابی‌ست	N$آفتاب+SG YEH COP3SG
آفتاب‌روی	N$آفتاب‌رو+SG COP2SG#SG EZ
آفتاب‌ها	N$آفتاب+PL
آفتاب‌پرست	N$آفتاب‌پرست+SG
آفتست	N$آفت+SG COP3SG
آفتش	N$آفت+SG PRO3SG
آفتم	N$آفت+SG COP1SG#SG PRO1SG
آفتها	N$آفت+PL
آفتهای	N$آفت+PL EZ#PL COP2SG
آفتی	N$آفت+SG YEH#SG COP2SG
آفتیست	N$آفت+SG YEH COP3SG
آفت‌هاست	N$آفت+PL COP3SG
آفت‌های	N$آفت+PL EZ#PL COP2SG
آفروشه	N$آفروشه+SG
آفروشه‌ای	N$آفروشه+SG COP2SG
آفریده	N$آفریده+SG
آفریده‌ام	N$آفریده+SG COP1SG#SG PRO1SG
آفریده‌اند	N$آفریده+SG COP3PL
آفریده‌ای	N$آفریده+SG COP2SG
آفریده‌ست	N$آفریده+SG COP3SG
آفریده‌ی	N$آفریده+SG COP2SG#SG EZ
آفریدگار	N$آفریدگار+SG
آفریدگارم	N$آفریدگار+SG COP1SG#SG PRO1SG
آفریدگان	N$آفریده+PL
آفرین	N$آفرین+SG
آفرینت	N$آفرین+SG PRO2SG
آفرینست	N$آفرین+SG COP3SG
آفرینش	N$آفرینش+SG*آفرین+SG PRO3SG
آفرینشت	N$آفرینش+SG PRO2SG
آفرینش‌های	N$آفرینش+PL EZ#PL COP2SG
آفرینم	N$آفرین+SG COP1SG#SG PRO1SG
آفرینند	N$آفرین+SG COP3PL
آفریننده	N$آفریننده+SG
آفریننده‌ام	N$آفریننده+SG COP1SG#SG PRO1SG
آفریننده‌ای	N$آفریننده+SG COP2SG
آفریننده‌ی	N$آفریننده+SG COP2SG#SG EZ
آفرینها	N$آفرین+PL
آفرینهای	N$آفرین+PL EZ#PL COP2SG
آفرینی	N$آفرین+SG YEH#SG COP2SG
آفرینیم	N$آفرین+SG COP1PL#SG YEH COP1SG
آفرین‌ها	N$آفرین+PL
آفسانه	N$آفسانه+SG
آفند	N$آفند+SG
آفندی	N$آفند+SG YEH#SG COP2SG
آق	N$آق+SG
آقا	N$آقا+SG
آقچه	N$آقچه+SG
آقچه‌ی	N$آقچه+SG COP2SG#SG EZ
آل	N$آل+SG
آلا	N$آلا+SG
آلائی	N$آلا+SG YEH
آلائیست	N$آلا+SG YEH COP3SG
آلات	N$آلا+SG PRO2SG*آلات+SG*آله+PL
آلاتها	N$آلات+PL
آلاجق	N$آلاجق+SG
آلاجقی	N$آلاجق+SG YEH#SG COP2SG
آلاست	N$آلاس+SG PRO2SG*آلا+SG COP3SG
آلاف	N$آلاف+SG
آلاله	N$آلاله+SG
آلاله‌ای	N$آلاله+SG COP2SG
آلاله‌ی	N$آلاله+SG COP2SG#SG EZ
آلام	N$آلام+SG*آلا+SG COP1SG#SG PRO1SG
آلان	N$آل+PL
آلاوه	N$آلاوه+SG
آلای	N$آلا+SG COP2SG#SG EZ
آلاید	N$آلا+SG COP2PL
آلایش	N$آلا+SG PRO3SG
آلایشم	N$آلا+SG PRO3SG COP1SG
آلایشی	N$آلا+SG PRO3SG YEH#SG PRO3SG COP2SG
آلایم	N$آلا+SG PRO1SG#SG COP1PL
آلایی	N$آلا+SG YEH
آلاییست	N$آلا+SG YEH COP3SG
آلاییی	N$آلا+SG YEH COP2SG
آلت	N$آلت+SG*آل+SG PRO2SG
آلتان	N$آلت+PL*آل+SG PRO2PL
آلتت	N$آلت+SG PRO2SG
آلتست	N$آلت+SG COP3SG*آل+SG PRO2SG COP3SG
آلتش	N$آلت+SG PRO3SG
آلتون	N$آلتون+SG
آلتی	N$آلت+SG YEH#SG COP2SG*آل+SG PRO2SG YEH#SG PRO2SG COP2SG
آلتیست	N$آلت+SG YEH COP3SG*آل+SG PRO2SG YEH COP3SG
آلت‌اند	N$آلت+SG COP3PL*آل+SG PRO2SG COP3PL
آلستم	N$آل+SG COP1SG
آلش	N$آلش+SG*آل+SG PRO3SG
آلفا	N$آلفا+SG
آلم	N$آل+SG COP1SG#SG PRO1SG
آلند	N$آل+SG COP3PL
آله	N$آله+SG
آلو	N$آلو+SG
آلوده‌دامن	N$آلوده‌دامن+SG
آلودگی	N$آلودگی+SG
آلودگیت	N$آلودگی+SG PRO2SG
آلودگیست	N$آلودگی+SG COP3SG
آلودگیها	N$آلودگی+PL
آلودگیهای	N$آلودگی+PL EZ#PL COP2SG
آلودگی‌ها	N$آلودگی+PL
آلوی	N$آلو+SG COP2SG#SG EZ
آلویی	N$آلو+SG YEH
آلی	N$آل+SG YEH#SG COP2SG
آماج	N$آماج+SG
آماجم	N$آماج+SG COP1SG#SG PRO1SG
آماجگاه	N$آماجگاه+SG
آمادگی	N$آمادگی+SG
آمار	N$آمار+SG
آماس	N$آماس+SG
آمال	N$آمال+SG
آمالش	N$آمال+SG PRO3SG
آمالم	N$آمال+SG COP1SG#SG PRO1SG
آمالها	N$آمال+PL
آمالی	N$آمال+SG YEH#SG COP2SG
آمال‌ها	N$آمال+PL
آمد	N$آمد+SG
آمدت	N$آمد+SG PRO2SG
آمدست	N$آمد+SG COP3SG
آمدستم	N$آمد+SG COP1SG
آمدستند	N$آمد+SG COP3PL
آمدستی	N$آمد+SG COP2SG
آمدستیم	N$آمد+SG COP1PL
آمدش	N$آمد+SG PRO3SG
آمدشان	N$آمد+SG PRO3PL
آمدم	N$آمد+SG COP1SG#SG PRO1SG
آمدمی	N$آمد+SG PRO1SG COP2SG#SG PRO1SG YEH
آمدند	N$آمد+SG COP3PL
آمدی	N$آمد+SG YEH#SG COP2SG
آمدید	N$آمد+SG COP2PL
آمدیم	N$آمد+SG COP1PL#SG YEH COP1SG
آمدی‌ای	N$آمد+SG YEH COP2SG
آمر	N$آمر+SG
آمرت	N$آمر+SG PRO2SG
آمرزش	N$آمرزش+SG
آمرزشم	N$آمرزش+SG COP1SG#SG PRO1SG
آمرزگار	N$آمرزگار+SG
آمرزگارم	N$آمرزگار+SG COP1SG#SG PRO1SG
آمرزگاری	N$آمرزگار+SG YEH#SG COP2SG
آمرزیده	N$آمرزیده+SG
آمرزیده‌ی	N$آمرزیده+SG COP2SG#SG EZ
آمرست	N$آمر+SG COP3SG
آمرود	N$آمرود+SG
آمری	N$آمر+SG YEH#SG COP2SG
آمل	N$آمل+SG
آمنه	N$آمنه+SG
آمه	N$آمه+SG
آموز	N$آموز+SG
آموزان	N$آموزان+SG*آموز+PL
آموزت	N$آموز+SG PRO2SG
آموزش	N$آموزش+SG*آموز+SG PRO3SG
آموزشت	N$آموزش+SG PRO2SG
آموزشی	N$آموزش+SG YEH#SG COP2SG*آموز+SG PRO3SG YEH#SG PRO3SG COP2SG
آموزم	N$آموز+SG COP1SG#SG PRO1SG
آموزند	N$آموز+SG COP3PL
آموزگار	N$آموزگار+SG
آموزگاران	N$آموزگار+PL
آموزگارت	N$آموزگار+SG PRO2SG
آموزگارش	N$آموزگار+SG PRO3SG
آموزگاری	N$آموزگار+SG YEH#SG COP2SG*آموزگاری+SG
آموزگاریست	N$آموزگار+SG YEH COP3SG*آموزگاری+SG COP3SG
آموزی	N$آموز+SG YEH#SG COP2SG
آموزید	N$آموز+SG COP2PL
آموزیم	N$آموز+SG COP1PL#SG YEH COP1SG
آمون	N$آمون+SG
آمیخته	N$آمیخته+SG
آمیخته‌ام	N$آمیخته+SG COP1SG#SG PRO1SG
آمیخته‌اند	N$آمیخته+SG COP3PL
آمیخته‌ای	N$آمیخته+SG COP2SG
آمیخته‌ایم	N$آمیخته+SG COP1PL
آمیخته‌ست	N$آمیخته+SG COP3SG
آمیزش	N$آمیزش+SG
آمیزشت	N$آمیزش+SG PRO2SG
آمیزشی	N$آمیزش+SG YEH#SG COP2SG
آمیزشیست	N$آمیزش+SG YEH COP3SG
آمیزش‌ست	N$آمیزش+SG COP3SG
آمیزگار	N$آمیزگار+SG
آمیزگاری	N$آمیزگار+SG YEH#SG COP2SG
آمین	N$آمین+SG
آمینست	N$آمین+SG COP3SG
آمینش	N$آمین+SG PRO3SG
آمینی	N$آمین+SG YEH#SG COP2SG
آن	N$آن+SG
آنان	N$آن+PL
آنانند	N$آن+PL COP3PL
آنانکه	N$آن+PL CONJ
آنانی	N$آن+PL YEH#PL COP2SG
آنت	N$آن+SG PRO2SG
آند	N$آند+SG*آ+SG COP3PL
آندان	N$آند+PL
آندست	N$آند+SG COP3SG
آندم	N$آند+SG COP1SG#SG PRO1SG
آندمم	N$آند+SG PRO1SG COP1SG
آنرا	N$آن+SG POSTP
آنست	N$آن+SG COP3SG
آنستم	N$آن+SG COP1SG
آنستکه	N$آن+SG COP3SG CONJ
آنستی	N$آن+SG COP2SG
آنش	N$آن+SG PRO3SG
آنشست	N$آن+SG PRO3SG COP3SG
آنشی	N$آن+SG PRO3SG YEH#SG PRO3SG COP2SG
آنم	N$آن+SG COP1SG#SG PRO1SG
آنند	N$آن+SG COP3PL
آنها	N$آن+PL
آنهات	N$آن+PL PRO2SG
آنهاست	N$آن+PL COP3SG
آنهاکه	N$آن+PL CONJ
آنهایی	N$آن+PL YEH
آنهم	N$آنه+SG PRO1SG
آنکه	N$آن+SG CONJ
آنگوی	N$آنگوی+SG
آنی	N$آن+SG YEH#SG COP2SG
آنید	N$آن+SG COP2PL
آنیم	N$آن+SG COP1PL#SG YEH COP1SG
آنیه	N$آنیه+SG
آنیی	N$آن+SG YEH COP2SG
آن‌ام	N$آن+SG COP1SG
آن‌ست	N$آن+SG COP3SG
آن‌ها	N$آن+PL
آن‌های	N$آن+PL EZ#PL COP2SG
آه	N$آه+SG
آهار	N$آهار+SG
آهت	N$آه+SG PRO2SG
آهستگی	N$آهستگی+SG
آهستگیست	N$آهستگی+SG COP3SG
آهستگیش	N$آهستگی+SG PRO3SG
آهستگیی	N$آهستگی+SG COP2SG#SG EZ
آهش	N$آه+SG PRO3SG
آهشان	N$آه+SG PRO3PL
آهم	N$آه+SG PRO1SG
آهمند	N$آه+SG PRO1SG COP3PL*آهمند+SG
آهن	N$آهن+SG
آهنان	N$آهن+PL
آهنت	N$آهن+SG PRO2SG
آهنست	N$آهن+SG COP3SG
آهنش	N$آهن+SG PRO3SG
آهنم	N$آهن+SG COP1SG#SG PRO1SG
آهنند	N$آهن+SG COP3PL
آهنها	N$آهن+PL
آهنگ	N$آهنگ+SG
آهنگان	N$آهنگ+PL
آهنگر	N$آهنگر+SG
آهنگران	N$آهنگر+PL
آهنگرش	N$آهنگر+SG PRO3SG
آهنگرم	N$آهنگر+SG COP1SG#SG PRO1SG
آهنگرند	N$آهنگر+SG COP3PL
آهنگری	N$آهنگر+SG YEH#SG COP2SG*آهنگری+SG
آهنگریم	N$آهنگر+SG COP1PL#SG YEH COP1SG*آهنگری+SG COP1SG#SG PRO1SG
آهنگست	N$آهنگ+SG COP3SG
آهنگش	N$آهنگ+SG PRO3SG
آهنگشان	N$آهنگ+SG PRO3PL
آهنگم	N$آهنگ+SG COP1SG#SG PRO1SG
آهنگها	N$آهنگ+PL
آهنگی	N$آهنگ+SG YEH#SG COP2SG
آهنگیست	N$آهنگ+SG YEH COP3SG
آهنگ‌ها	N$آهنگ+PL
آهنی	N$آهن+SG YEH#SG COP2SG
آهنیست	N$آهن+SG YEH COP3SG
آهنیم	N$آهن+SG COP1PL#SG YEH COP1SG
آهن‌ربا	N$آهن‌ربا+SG
آهن‌ربایی	N$آهن‌ربا+SG YEH
آهن‌ست	N$آهن+SG COP3SG
آهن‌ها	N$آهن+PL
آهن‌کشان	N$آهن‌کش+PL
آهو	N$آهو+SG
آهوئی	N$آهو+SG YEH
آهوئیست	N$آهو+SG YEH COP3SG
آهوان	N$آهو+PL
آهوانت	N$آهو+PL PRO2SG
آهوانست	N$آهو+PL COP3SG
آهوانش	N$آهو+PL PRO3SG
آهوانند	N$آهو+PL COP3PL
آهوبره	N$آهوبره+SG
آهوبچه	N$آهوبچه+SG
آهوت	N$آهو+SG PRO2SG
آهوست	N$آهو+SG COP3SG
آهوش	N$آهو+SG PRO3SG
آهوم	N$آهو+SG COP1SG#SG PRO1SG
آهون	N$آهون+SG
آهونی	N$آهون+SG YEH#SG COP2SG
آهوی	N$آهو+SG COP2SG#SG EZ
آهویت	N$آهو+SG PRO2SG
آهویش	N$آهو+SG PRO3SG
آهویم	N$آهو+SG PRO1SG#SG COP1PL
آهویی	N$آهو+SG YEH
آهک	N$آهک+SG
آه‌ها	N$آه+PL
آه‌های	N$آه+PL EZ#PL COP2SG
آو	N$آو+SG
آوا	N$آوا+SG
آوائی	N$آوا+SG YEH
آوار	N$آوار+SG
آوارم	N$آوار+SG COP1SG#SG PRO1SG
آواره	N$آواره+SG
آواره‌ای	N$آواره+SG COP2SG
آواره‌ایم	N$آواره+SG COP1PL
آواره‌ی	N$آواره+SG COP2SG#SG EZ
آوارگان	N$آواره+PL
آوارگانی	N$آواره+PL YEH#PL COP2SG
آوارگی	N$آوارگی+SG
آواری	N$آوار+SG YEH#SG COP2SG
آواریم	N$آوار+SG COP1PL#SG YEH COP1SG
آواز	N$آواز+SG
آوازانرا	N$آواز+PL POSTP
آوازت	N$آواز+SG PRO2SG
آوازش	N$آواز+SG PRO3SG
آوازشان	N$آواز+SG PRO3PL
آوازم	N$آواز+SG COP1SG#SG PRO1SG
آوازند	N$آواز+SG COP3PL
آوازه	N$آوازه+SG
آوازها	N$آواز+PL
آوازهاست	N$آواز+PL COP3SG
آوازهای	N$آواز+PL EZ#PL COP2SG
آوازه‌ات	N$آوازه+SG PRO2SG
آوازه‌اش	N$آوازه+SG PRO3SG
آوازه‌ام	N$آوازه+SG COP1SG#SG PRO1SG
آوازه‌ای	N$آوازه+SG COP2SG
آوازه‌ی	N$آوازه+SG COP2SG#SG EZ
آوازگان	N$آوازه+PL
آوازی	N$آواز+SG YEH#SG COP2SG
آوازیم	N$آواز+SG COP1PL#SG YEH COP1SG
آواستی	N$آوا+SG COP2SG
آواش	N$آوا+SG PRO3SG
آوان	N$آو+PL
آواها	N$آوا+PL
آوای	N$آوا+SG COP2SG#SG EZ*آوای+SG
آوایی	N$آوا+SG YEH*آوای+SG COP2SG#SG EZ
آواییم	N$آوا+SG YEH COP1SG*آوای+SG PRO1SG#SG COP1PL
آورا	N$آو+SG POSTP
آورد	N$آورد+SG
آوردت	N$آورد+SG PRO2SG
آوردخواه	N$آوردخواه+SG
آوردست	N$آورد+SG COP3SG
آوردش	N$آورد+SG PRO3SG
آوردشان	N$آورد+SG PRO3PL
آوردم	N$آورد+SG COP1SG#SG PRO1SG
آوردمان	N$آورد+SG PRO1PL
آوردمی	N$آورد+SG PRO1SG COP2SG#SG PRO1SG YEH
آوردند	N$آورد+SG COP3PL
آورده	N$آورده+SG
آورده‌ئی	N$آورده+SG YEH
آورده‌ام	N$آورده+SG COP1SG#SG PRO1SG
آورده‌اند	N$آورده+SG COP3PL
آورده‌ای	N$آورده+SG COP2SG
آورده‌اید	N$آورده+SG COP2PL
آورده‌ایم	N$آورده+SG COP1PL
آورده‌ست	N$آورده+SG COP3SG
آورده‌ی	N$آورده+SG COP2SG#SG EZ
آوردگاه	N$آوردگاه+SG
آوردی	N$آورد+SG YEH#SG COP2SG
آوردید	N$آورد+SG COP2PL
آوردیم	N$آورد+SG COP1PL#SG YEH COP1SG
آوردیی	N$آورد+SG YEH COP2SG
آورست	N$آورس+SG PRO2SG
آورنده	N$آورنده+SG
آورید	N$آورید+SG
آوریدت	N$آورید+SG PRO2SG
آوریدست	N$آورید+SG COP3SG
آوریدش	N$آورید+SG PRO3SG
آوریدم	N$آورید+SG COP1SG#SG PRO1SG
آوریدند	N$آورید+SG COP3PL
آوریدی	N$آورید+SG YEH#SG COP2SG
آوریدیم	N$آورید+SG COP1PL#SG YEH COP1SG
آوش	N$آو+SG PRO3SG
آوند	N$آوند+SG*آو+SG COP3PL
آوندی	N$آوند+SG YEH#SG COP2SG*آوندی+SG
آونگ	N$آونگ+SG
آونگان	N$آونگ+PL
آونگشان	N$آونگ+SG PRO3PL
آونگم	N$آونگ+SG COP1SG#SG PRO1SG
آونگی	N$آونگ+SG YEH#SG COP2SG
آونگ‌ها	N$آونگ+PL
آویز	N$آویز+SG
آویزان	N$آویز+PL
آویزانست	N$آویز+PL COP3SG
آویزت	N$آویز+SG PRO2SG
آویزش	N$آویز+SG PRO3SG*آویزش+SG
آویزم	N$آویز+SG COP1SG#SG PRO1SG
آویزند	N$آویز+SG COP3PL
آویزه	N$آویزه+SG
آویزها	N$آویز+PL
آویزه‌ات	N$آویزه+SG PRO2SG
آویزه‌ی	N$آویزه+SG COP2SG#SG EZ
آویزی	N$آویز+SG YEH#SG COP2SG
آویزید	N$آویز+SG COP2PL
آویزیم	N$آویز+SG COP1PL#SG YEH COP1SG
آویشن	N$آویشن+SG
آویشنش	N$آویشن+SG PRO3SG
آچار	N$آچار+SG
آچارش	N$آچار+SG PRO3SG
آژنگ	N$آژنگ+SG
آژنگشان	N$آژنگ+SG PRO3PL
آژنگی	N$آژنگ+SG YEH#SG COP2SG
آژیر	N$آژیر+SG
آکل	N$آکل+SG
آکلان	N$آکل+PL
آکلانست	N$آکل+PL COP3SG
آکلست	N$آکل+SG COP3SG
آکلی	N$آکل+SG YEH#SG COP2SG
آکند	N$آک+SG COP3PL
آکنده	N$آکنده+SG
آکنده‌اند	N$آکنده+SG COP3PL
آکنده‌ای	N$آکنده+SG COP2SG
آکندگی	N$آکندگی+SG
آکه	N$آ+SG CONJ
آگاه	N$آگاه+SG
آگاهت	N$آگاه+SG PRO2SG
آگاهش	N$آگاه+SG PRO3SG
آگاهم	N$آگاه+SG PRO1SG
آگاهمی	N$آگاه+SG PRO1SG COP2SG#SG PRO1SG YEH
آگاهی	N$آگاهی+SG
آگاهیت	N$آگاهی+SG PRO2SG
آگاهیست	N$آگاهی+SG COP3SG
آگاهیش	N$آگاهی+SG PRO3SG
آگاهیم	N$آگاهی+SG COP1SG#SG PRO1SG
آگاهیی	N$آگاه+SG YEH*آگاهی+SG COP2SG#SG EZ
آگاهی‌ای	N$آگاهی+SG COP2SG
آگفت	N$آگفت+SG
آگن	N$آگن+SG
آگنان	N$آگن+PL
آگنده	N$آگنده+SG
آگنده‌ام	N$آگنده+SG COP1SG#SG PRO1SG
آگنده‌اند	N$آگنده+SG COP3PL
آگنده‌ای	N$آگنده+SG COP2SG
آگنده‌ایم	N$آگنده+SG COP1PL
آگنده‌ست	N$آگنده+SG COP3SG
آگنش	N$آگن+SG PRO3SG
آگنم	N$آگن+SG COP1SG#SG PRO1SG
آگنند	N$آگن+SG COP3PL
آگنی	N$آگن+SG YEH#SG COP2SG
آگنید	N$آگن+SG COP2PL
آگنیم	N$آگن+SG COP1PL#SG YEH COP1SG
آگوش	N$آگوش+SG
آگین	N$آگین+SG
آگینش	N$آگین+SG PRO3SG
آی	N$آ+SG YEH#SG COP2SG
آیات	N$آیات+SG*آیه+PL
آیاتست	N$آیات+SG COP3SG*آیه+PL COP3SG
آیاتش	N$آیات+SG PRO3SG*آیه+PL PRO3SG
آیاتشان	N$آیات+SG PRO3PL*آیه+PL PRO3PL
آیاتی	N$آیات+SG YEH#SG COP2SG*آیه+PL YEH#PL COP2SG
آیت	N$آیت+SG
آیتست	N$آیت+SG COP3SG
آیتش	N$آیت+SG PRO3SG
آیتهای	N$آیت+PL EZ#PL COP2SG
آیتی	N$آیت+SG YEH#SG COP2SG
آیتیست	N$آیت+SG YEH COP3SG
آیتیم	N$آیت+SG COP1PL#SG YEH COP1SG
آیتی‌ای	N$آیت+SG YEH COP2SG
آیتی‌ست	N$آیت+SG YEH COP3SG
آیت‌الله	N$آیت‌الله+SG
آیت‌ها	N$آیت+PL
آید	N$آ+SG COP2PL
آیم	N$آ+SG COP1PL#SG YEH COP1SG
آین	N$آین+SG
آینت	N$آین+SG PRO2SG
آیند	N$آیند+SG*آ+SG YEH COP3PL
آیندش	N$آیند+SG PRO3SG
آینده	N$آینده+SG
آینده‌اند	N$آینده+SG COP3PL
آینده‌ایم	N$آینده+SG COP1PL
آینده‌ی	N$آینده+SG COP2SG#SG EZ
آیندگان	N$آیندگان+SG*آینده+PL
آینه	N$آینه+SG
آینه‌ات	N$آینه+SG PRO2SG
آینه‌اش	N$آینه+SG PRO3SG
آینه‌ام	N$آینه+SG COP1SG#SG PRO1SG
آینه‌ای	N$آینه+SG COP2SG
آینه‌ایم	N$آینه+SG COP1PL
آینه‌دار	N$آینه‌دار+SG
آینه‌داری	N$آینه‌دار+SG YEH#SG COP2SG
آینه‌ست	N$آینه+SG COP3SG
آینه‌ها	N$آینه+PL
