آباد	AJ$آباد+POS
اجوف	AJ$اجوف+POS
احب	AJ$احب+POS
احبتی	AJ$احب+POS PRO2SG YEH#POS PRO2SG COP2SG
احتسابی	AJ$احتسابی+POS
احتمالی	AJ$احتمالی+POS
احتیاجی	AJ$احتیاجی+POS
احد	AJ$احد+POS
احدب	AJ$احدب+POS
احدست	AJ$احد+POS COP3SG
احدستی	AJ$احد+POS COP2SG
احدم	AJ$احد+POS PRO1SG#POS COP1SG
احدی	AJ$احد+POS YEH#POS COP2SG
احدیست	AJ$احد+POS YEH COP3SG
احرام	AJ$احرا+POS PRO1SG#POS COP1SG
احری	AJ$احری+POS
احسن	AJ$احسن+POS
احسنت	AJ$احسن+POS PRO2SG
احسنتی	AJ$احسن+POS PRO2SG YEH#POS PRO2SG COP2SG
احسنست	AJ$احسن+POS COP3SG
احسنی	AJ$احسن+POS YEH#POS COP2SG
احقر	AJ$احقر+POS
احلی	AJ$احلی+POS
احمد	AJ$احمد+POS
احمدست	AJ$احمد+POS COP3SG
احمدش	AJ$احمد+POS PRO3SG
احمدم	AJ$احمد+POS PRO1SG#POS COP1SG
احمدی	AJ$احمد+POS YEH#POS COP2SG
احمدیم	AJ$احمد+POS COP1PL#POS YEH COP1SG
احمر	AJ$احمر+POS
احمرت	AJ$احمر+POS PRO2SG
احمرست	AJ$احمر+POS COP3SG
احمرش	AJ$احمر+POS PRO3SG
احمرم	AJ$احمر+POS PRO1SG#POS COP1SG
احمری	AJ$احمر+POS YEH#POS COP2SG
احمریم	AJ$احمر+POS COP1PL#POS YEH COP1SG
احمق	AJ$احمق+POS
احمقانه	AJ$احمقانه+POS
احمقست	AJ$احمق+POS COP3SG
احمقش	AJ$احمق+POS PRO3SG
احمقم	AJ$احمق+POS PRO1SG#POS COP1SG
احمقی	AJ$احمق+POS YEH#POS COP2SG
احمقیست	AJ$احمق+POS YEH COP3SG
احمقی‌ام	AJ$احمق+POS YEH COP1SG
احور	AJ$احور+POS
احورش	AJ$احور+POS PRO3SG
احوری	AJ$احور+POS YEH#POS COP2SG
احول	AJ$احول+POS
احولست	AJ$احول+POS COP3SG
احولی	AJ$احول+POS YEH#POS COP2SG
احولیم	AJ$احول+POS COP1PL#POS YEH COP1SG
احکم	AJ$احکم+POS
اخباری	AJ$اخباری+POS
اخترا	AJ$اخت+POS POSTP
اختراعی	AJ$اختراعی+POS
اختراعیست	AJ$اختراعی+POS COP3SG
اخته	AJ$اخته+POS
اختیاری	AJ$اختیاری+POS
اختیاریست	AJ$اختیاری+POS COP3SG
اخراج	AJ$اخراج+POS
اخروی	AJ$اخروی+POS
اخرویش	AJ$اخروی+POS PRO3SG
اخس	AJ$اخس+POS
اخستان	AJ$اخس+POS PRO2PL
اخشم	AJ$اخشم+POS
اخشمی	AJ$اخشم+POS YEH#POS COP2SG
اخص	AJ$اخص+POS
اخضر	AJ$اخضر+POS
اخضرت	AJ$اخضر+POS PRO2SG
اخضرست	AJ$اخضر+POS COP3SG
اخضرش	AJ$اخضر+POS PRO3SG
اخضرم	AJ$اخضر+POS PRO1SG#POS COP1SG
اخضرند	AJ$اخضر+POS COP3PL
اخضری	AJ$اخضر+POS YEH#POS COP2SG
اخضریم	AJ$اخضر+POS COP1PL#POS YEH COP1SG
اخفش	AJ$اخف+POS PRO3SG
اخفی	AJ$اخف+POS YEH#POS COP2SG*اخفی+POS
اخلاقی	AJ$اخلاقی+POS
اخیر	AJ$اخیر+POS
اخیرم	AJ$اخیر+POS PRO1SG#POS COP1SG
اداری	AJ$اداری+POS
ادبست	AJ$ادبس+POS PRO2SG
ادبی	AJ$ادبی+POS
ادراری	AJ$ادراری+POS
ادنی	AJ$ادنی+POS
ادنی‌ست	AJ$ادنی+POS COP3SG
ادهم	AJ$ادهم+POS
ادهمت	AJ$ادهم+POS PRO2SG
ادهمست	AJ$ادهم+POS COP3SG
ادهمش	AJ$ادهم+POS PRO3SG
ادهمی	AJ$ادهم+POS YEH#POS COP2SG
ادکن	AJ$ادکن+POS
ادکنست	AJ$ادکن+POS COP3SG
ادکنی	AJ$ادکن+POS YEH#POS COP2SG
ادیب	AJ$ادیب+POS
ادیبش	AJ$ادیب+POS PRO3SG
ادیبم	AJ$ادیب+POS PRO1SG#POS COP1SG
ادیبی	AJ$ادیب+POS YEH#POS COP2SG
اذفر	AJ$اذفر+POS
اذفرست	AJ$اذفر+POS COP3SG
اذفرش	AJ$اذفر+POS PRO3SG
اذفرم	AJ$اذفر+POS PRO1SG#POS COP1SG
اذل	AJ$اذل+POS
اذلی	AJ$اذل+POS YEH#POS COP2SG
ارادی	AJ$ارادی+POS
ارادیست	AJ$ارادی+POS COP3SG
اربابی	AJ$اربابی+POS
اربع	AJ$اربع+POS
اربعه	AJ$اربعه+POS
ارثی	AJ$ارثی+POS
ارجل	AJ$ارجل+POS
ارجمند	AJ$ارجمند+POS
ارجمندت	AJ$ارجمند+POS PRO2SG
ارجمندست	AJ$ارجمند+POS COP3SG
ارجمندش	AJ$ارجمند+POS PRO3SG
ارجمندم	AJ$ارجمند+POS PRO1SG#POS COP1SG
ارجمندند	AJ$ارجمند+POS COP3PL
ارجمندی	AJ$ارجمند+POS YEH#POS COP2SG
ارجنه	AJ$ارجنه+POS
ارحم	AJ$ارحم+POS
ارحمی	AJ$ارحم+POS YEH#POS COP2SG
ارزان	AJ$ارزان+POS
ارزانتر	AJ$ارزان+COMP
ارزانست	AJ$ارزان+POS COP3SG
ارزانش	AJ$ارزان+POS PRO3SG
ارزانم	AJ$ارزان+POS PRO1SG#POS COP1SG
ارزانند	AJ$ارزان+POS COP3PL
ارزانکه	AJ$ارزان+POS CONJ
ارزانی	AJ$ارزانی+POS*ارزان+POS YEH#POS COP2SG
ارزانیت	AJ$ارزانی+POS PRO2SG
ارزانیست	AJ$ارزانی+POS COP3SG*ارزان+POS YEH COP3SG
ارزانیم	AJ$ارزانی+POS PRO1SG#POS COP1SG*ارزان+POS COP1PL#POS YEH COP1SG
ارزانیی	AJ$ارزانی+POS EZ#POS COP2SG*ارزان+POS YEH COP2SG
ارزان‌تر	AJ$ارزان+COMP
ارزنده	AJ$ارزنده+POS
ارزنده‌اش	AJ$ارزنده+POS PRO3SG
ارزنده‌ای	AJ$ارزنده+POS COP2SG
ارزنده‌تر	AJ$ارزنده+COMP
ارزی	AJ$ارزی+POS
ارزیده‌ام	AJ$ارزیده+POS PRO1SG#POS COP1SG
ارزیده‌اند	AJ$ارزیده+POS COP3PL
ارعد	AJ$ارعد+POS
ارغنده	AJ$ارغنده+POS
ارغنده‌ای	AJ$ارغنده+POS COP2SG
ارغوان	AJ$ارغوان+POS
ارغوانت	AJ$ارغوان+POS PRO2SG
ارغوانرا	AJ$ارغوان+POS POSTP
ارغوانست	AJ$ارغوان+POS COP3SG
ارغوانستی	AJ$ارغوان+POS COP2SG
ارغوانش	AJ$ارغوان+POS PRO3SG
ارغوانم	AJ$ارغوان+POS PRO1SG#POS COP1SG
ارغوانی	AJ$ارغوان+POS YEH#POS COP2SG*ارغوانی+POS
ارغوانیش	AJ$ارغوانی+POS PRO3SG
ارغوانیم	AJ$ارغوان+POS COP1PL#POS YEH COP1SG*ارغوانی+POS PRO1SG#POS COP1SG
ارفع	AJ$ارفع+POS
ارق	AJ$ارق+POS
ارقم	AJ$ارقم+POS*ارق+POS PRO1SG#POS COP1SG
ارقمی	AJ$ارقم+POS YEH#POS COP2SG*ارق+POS PRO1SG YEH#POS PRO1SG COP2SG
ارمد	AJ$ارمد+POS
ارمدست	AJ$ارمد+POS COP3SG
ارمنی	AJ$ارمنی+POS
ارکانی	AJ$ارکانی+POS
ارکانیی	AJ$ارکانی+POS EZ#POS COP2SG
از	AJ$+PREP POS
ازآرام	AJ$آرام+PREP POS
ازآشنائی	AJ$آشنا+PREP POS YEH
ازاحمد	AJ$احمد+PREP POS
ازاقصای	AJ$اقصا+PREP POS EZ#PREP POS COP2SG
ازاندیشه‌ای	AJ$اندیشه‌ای+PREP POS
ازانی	AJ$انی+PREP POS
ازاین	AJ$ازاین+POS
ازباستان	AJ$باستان+PREP POS
ازبدنامی	AJ$بدنام+PREP POS COP2SG#PREP POS YEH
ازبر	AJ$بر+PREP POS
ازبرتریست	AJ$برتر+PREP POS YEH COP3SG*بر+PREP COMP YEH COP3SG
ازبرستم	AJ$بر+PREP POS COP1SG
ازبرش	AJ$بر+PREP POS PRO3SG
ازبرم	AJ$بر+PREP POS COP1SG#PREP POS PRO1SG
ازبک	AJ$ازبک+POS
ازبی‌خوابی	AJ$بی‌خواب+PREP POS COP2SG#PREP POS YEH
ازبی‌نیازی	AJ$بی‌نیاز+PREP POS COP2SG#PREP POS YEH
ازتازیان	AJ$تازیان+PREP POS
ازتر	AJ$+PREP COMP*تر+PREP POS
ازترک	AJ$ترک+PREP POS
ازتری	AJ$+PREP COMP COP2SG#PREP COMP YEH*تر+PREP POS COP2SG#PREP POS YEH
ازتست	AJ$+PREP POS PRO2SG COP3SG
ازتنگ	AJ$تنگ+PREP POS
ازجهان	AJ$جهان+PREP POS
ازجوانی	AJ$جوان+PREP POS COP2SG#PREP POS YEH
ازحق	AJ$حق+PREP POS
ازخار	AJ$خار+PREP POS
ازخرد	AJ$خرد+PREP POS
ازخشک	AJ$خشک+PREP POS
ازخم	AJ$خم+PREP POS
ازخواسته	AJ$خواسته+PREP POS
ازدر	AJ$ازدر+POS
ازدرت	AJ$ازدر+POS PRO2SG
ازدیده	AJ$دیده+PREP POS
ازرق	AJ$ازرق+POS
ازرقست	AJ$ازرق+POS COP3SG
ازرقش	AJ$ازرق+POS PRO3SG
ازرقی	AJ$ازرق+POS YEH#POS COP2SG
ازرق‌پوش	AJ$ازرق‌پوش+POS
اززنده	AJ$زنده+PREP POS
ازسر	AJ$سر+PREP POS
ازشان	AJ$+PREP POS PRO3PL
ازطاق	AJ$طاق+PREP POS
ازقدم	AJ$قد+PREP POS COP1SG#PREP POS PRO1SG
ازلست	AJ$لس+PREP POS PRO2SG
ازلش	AJ$لش+PREP POS
ازلشکری	AJ$لشکری+PREP POS
ازلی	AJ$ازلی+POS
ازلیت	AJ$ازلی+POS PRO2SG
ازلیست	AJ$ازلی+POS COP3SG
ازلی‌ست	AJ$ازلی+POS COP3SG
ازم	AJ$+PREP POS COP1SG#PREP POS PRO1SG
ازمان	AJ$+PREP POS PRO1PL
ازمایش	AJ$مای+PREP POS PRO3SG
ازمرد	AJ$مرد+PREP POS
ازمردمان	AJ$مرد+PREP POS PRO1PL
ازمنزل	AJ$منزل+PREP POS
ازناز	AJ$ناز+PREP POS
ازنامور	AJ$نامور+PREP POS
ازند	AJ$+PREP POS COP3PL
ازنیک	AJ$نیک+PREP POS
ازهار	AJ$هار+PREP POS
ازهد	AJ$ازهد+POS
ازهر	AJ$ازهر+POS
ازهرش	AJ$ازهر+POS PRO3SG
ازهرم	AJ$ازهر+POS PRO1SG#POS COP1SG
ازهری	AJ$ازهر+POS YEH#POS COP2SG
ازپر	AJ$پر+PREP POS
ازپیش	AJ$پیش+PREP POS
ازکش	AJ$کش+PREP POS
ازکه	AJ$+PREP POS CONJ*که+PREP POS
ازکوت	AJ$کو+PREP POS PRO2SG
ازی	AJ$+PREP POS COP2SG#PREP POS YEH
ازیرا	AJ$+PREP POS YEH POSTP
اساسی	AJ$اساسی+POS
اساسیست	AJ$اساسی+POS COP3SG
اسبکی	AJ$اسبکی+POS
است	AJ$است+POS
استاخ	AJ$استاخ+POS
استاد	AJ$استاد+POS
استادانه	AJ$استادانه+POS
استادت	AJ$استاد+POS PRO2SG
استادست	AJ$استاد+POS COP3SG
استادش	AJ$استاد+POS PRO3SG
استادم	AJ$استاد+POS PRO1SG#POS COP1SG
استادند	AJ$استاد+POS COP3PL
استاده	AJ$استاده+POS
استاده‌ام	AJ$استاده+POS PRO1SG#POS COP1SG
استاده‌اند	AJ$استاده+POS COP3PL
استاده‌ای	AJ$استاده+POS COP2SG
استاده‌ایم	AJ$استاده+POS COP1PL
استادی	AJ$استاد+POS YEH#POS COP2SG
استادیم	AJ$استاد+POS COP1PL#POS YEH COP1SG
استبر	AJ$استبر+POS
استت	AJ$است+POS PRO2SG
استدلالی	AJ$استدلالی+POS
استدلالیست	AJ$استدلالی+POS COP3SG
استرون	AJ$استرون+POS
استری	AJ$استری+POS
استش	AJ$است+POS PRO3SG
استشان	AJ$است+POS PRO3PL
استم	AJ$است+POS PRO1SG#POS COP1SG
استند	AJ$است+POS COP3PL
استوار	AJ$استوار+POS
استوارت	AJ$استوار+POS PRO2SG
استوارست	AJ$استوار+POS COP3SG
استوارش	AJ$استوار+POS PRO3SG
استوارم	AJ$استوار+POS PRO1SG#POS COP1SG
استواری	AJ$استوار+POS YEH#POS COP2SG
استواریست	AJ$استوار+POS YEH COP3SG
استوایی	AJ$استوایی+POS
استکه	AJ$است+POS CONJ
استی	AJ$است+POS YEH#POS COP2SG
اسعد	AJ$اسعد+POS
اسعدت	AJ$اسعد+POS PRO2SG
اسعدش	AJ$اسعد+POS PRO3SG
اسعدی	AJ$اسعد+POS YEH#POS COP2SG
اسعدیم	AJ$اسعد+POS COP1PL#POS YEH COP1SG
اسفل	AJ$اسفل+POS
اسفلی	AJ$اسفل+POS YEH#POS COP2SG
اسقاط	AJ$اسقاط+POS
اسلامی	AJ$اسلامی+POS
اسلم	AJ$اسلم+POS
اسلمت	AJ$اسلم+POS PRO2SG
اسماعیلی	AJ$اسماعیلی+POS
اسماعیلیم	AJ$اسماعیلی+POS PRO1SG#POS COP1SG
اسمر	AJ$اسمر+POS
اسمرش	AJ$اسمر+POS PRO3SG
اسمری	AJ$اسمر+POS YEH#POS COP2SG
اسمی	AJ$اسمی+POS
اسمیست	AJ$اسمی+POS COP3SG
اسن	AJ$اسن+POS
اسود	AJ$اسود+POS
اسودست	AJ$اسود+POS COP3SG
اسودی	AJ$اسود+POS YEH#POS COP2SG
اسپرت	AJ$اسپرت+POS
اسپرده	AJ$اسپرده+POS
اسپرده‌ای	AJ$اسپرده+POS COP2SG
اسپری	AJ$اسپری+POS
اسیر	AJ$اسیر+POS
اسیرت	AJ$اسیر+POS PRO2SG
اسیرست	AJ$اسیر+POS COP3SG
اسیرش	AJ$اسیر+POS PRO3SG
اسیرم	AJ$اسیر+POS PRO1SG#POS COP1SG
اسیرند	AJ$اسیر+POS COP3PL
اسیری	AJ$اسیر+POS YEH#POS COP2SG
اسیرید	AJ$اسیر+POS COP2PL
اسیریست	AJ$اسیر+POS YEH COP3SG
اسیریم	AJ$اسیر+POS COP1PL#POS YEH COP1SG
اسیریی	AJ$اسیر+POS YEH COP2SG
اشبهت	AJ$اشبه+POS PRO2SG
اشبهش	AJ$اشبه+POS PRO3SG
اشتباهی	AJ$اشتباهی+POS
اشتر	AJ$اشتر+POS
اشتراکی	AJ$اشتراکی+POS
اشترت	AJ$اشتر+POS PRO2SG
اشتردلی	AJ$اشتردل+POS YEH#POS COP2SG
اشترست	AJ$اشتر+POS COP3SG
اشترش	AJ$اشتر+POS PRO3SG
اشترم	AJ$اشتر+POS PRO1SG#POS COP1SG
اشتری	AJ$اشتر+POS YEH#POS COP2SG
اشتریست	AJ$اشتر+POS YEH COP3SG
اشتری‌ام	AJ$اشتر+POS YEH COP1SG
اشجع	AJ$اشجع+POS
اشد	AJ$اشد+POS
اشر	AJ$اشر+POS
اشرتم	AJ$اشر+POS PRO2SG COP1SG
اشرف	AJ$اشرف+POS
اشرفی	AJ$اشرف+POS YEH#POS COP2SG
اشعری	AJ$اشعر+POS YEH#POS COP2SG
اشغال	AJ$اشغال+POS
اشقر	AJ$اشقر+POS
اشقرش	AJ$اشقر+POS PRO3SG
اشقری	AJ$اشقر+POS YEH#POS COP2SG
اشن	AJ$اشن+POS
اشنوده‌ی	AJ$اشنوده+POS EZ#POS COP2SG
اشهب	AJ$اشهب+POS
اشهبست	AJ$اشهب+POS COP3SG
اشهبم	AJ$اشهب+POS PRO1SG#POS COP1SG
اشهبی	AJ$اشهب+POS YEH#POS COP2SG
اشهر	AJ$اشهر+POS
اشهی	AJ$اشهی+POS
اشکبار	AJ$اشکبار+POS
اشکبارش	AJ$اشکبار+POS PRO3SG
اشکبارم	AJ$اشکبار+POS PRO1SG#POS COP1SG
اشکباری	AJ$اشکبار+POS YEH#POS COP2SG
اشکسته	AJ$اشکسته+POS
اشکسته‌اش	AJ$اشکسته+POS PRO3SG
اشکسته‌ای	AJ$اشکسته+POS COP2SG
اشکی	AJ$اشکی+POS
اشکیم	AJ$اشکی+POS PRO1SG#POS COP1SG
اشک‌ریز	AJ$اشک‌ریز+POS
اشک‌فشان	AJ$اشک‌فشان+POS
اصدق	AJ$اصدق+POS
اصطلاحی	AJ$اصطلاحی+POS
اصغر	AJ$اصغر+POS
اصغرست	AJ$اصغر+POS COP3SG
اصغرند	AJ$اصغر+POS COP3PL
اصفر	AJ$اصفر+POS
اصفرست	AJ$اصفر+POS COP3SG
اصفرش	AJ$اصفر+POS PRO3SG
اصفری	AJ$اصفر+POS YEH#POS COP2SG
اصفهانی	AJ$اصفهانی+POS
اصفی	AJ$اصفی+POS
اصل	AJ$اصل+POS
اصلاحی	AJ$اصلاحی+POS
اصلت	AJ$اصل+POS PRO2SG
اصلح	AJ$اصلح+POS
اصلحت	AJ$اصلح+POS PRO2SG
اصلحیست	AJ$اصلح+POS YEH COP3SG
اصلست	AJ$اصل+POS COP3SG
اصلش	AJ$اصل+POS PRO3SG
اصلشان	AJ$اصل+POS PRO3PL
اصلع	AJ$اصلع+POS
اصلم	AJ$اصلم+POS*اصل+POS PRO1SG#POS COP1SG
اصلی	AJ$اصل+POS YEH#POS COP2SG*اصلی+POS
اصلیست	AJ$اصل+POS YEH COP3SG*اصلی+POS COP3SG
اصلیستی	AJ$اصل+POS YEH COP2SG*اصلی+POS COP2SG
اصلیش	AJ$اصلی+POS PRO3SG
اصلیم	AJ$اصل+POS COP1PL#POS YEH COP1SG*اصلی+POS PRO1SG#POS COP1SG
اصلی‌ست	AJ$اصل+POS YEH COP3SG*اصلی+POS COP3SG
اصم	AJ$اصم+POS
اصمست	AJ$اصم+POS COP3SG
اصوب	AJ$اصوب+POS
اصوبست	AJ$اصوب+POS COP3SG
اصولی	AJ$اصولی+POS
اصیل	AJ$اصیل+POS
اضافی	AJ$اضافی+POS
اضطراری	AJ$اضطراری+POS
اضطراری‌ست	AJ$اضطراری+POS COP3SG
اضعف	AJ$اضعف+POS
اضل	AJ$اضل+POS
اطلسی	AJ$اطلسی+POS
اطهر	AJ$اطهر+POS
اطهرست	AJ$اطهر+POS COP3SG
اطول	AJ$اطول+POS
اطیب	AJ$اطیب+POS
اظلم	AJ$اظلم+POS
اعاظم	AJ$اعاظم+POS
اعتباری	AJ$اعتباری+POS
اعتباریست	AJ$اعتباری+POS COP3SG
اعتدالی	AJ$اعتدالی+POS
اعجمی	AJ$اعجم+POS YEH#POS COP2SG
اعجمیند	AJ$اعجم+POS YEH COP3PL
اعجمی‌ام	AJ$اعجم+POS YEH COP1SG
اعدادی	AJ$اعدادی+POS
اعدادیم	AJ$اعدادی+POS PRO1SG#POS COP1SG
اعدل	AJ$اعدل+POS
اعذب	AJ$اعذب+POS
اعرف	AJ$اعرف+POS
اعز	AJ$اعز+POS
اعزل	AJ$اعزل+POS
اعشی	AJ$اعشی+POS
اعظم	AJ$اعظم+POS
اعظمت	AJ$اعظم+POS PRO2SG
اعظمست	AJ$اعظم+POS COP3SG
اعظمش	AJ$اعظم+POS PRO3SG
اعظمم	AJ$اعظم+POS PRO1SG#POS COP1SG
اعظمند	AJ$اعظم+POS COP3PL
اعظمی	AJ$اعظم+POS YEH#POS COP2SG
اعظم‌ست	AJ$اعظم+POS COP3SG
اعظم‌شان	AJ$اعظم+POS PRO3PL
اعلاء	AJ$اعلاء+POS
اعلم	AJ$اعلم+POS
اعلن	AJ$اعلن+POS
اعلی	AJ$اعلی+POS
اعلیت	AJ$اعلی+POS PRO2SG
اعم	AJ$اعم+POS
اعمش	AJ$اعمش+POS*اعم+POS PRO3SG
اعمشان	AJ$اعم+POS PRO3PL
اعمی	AJ$اعمی+POS*اعم+POS YEH#POS COP2SG
اعمیستم	AJ$اعمی+POS COP1SG*اعم+POS YEH COP1SG
اعمیی	AJ$اعمی+POS EZ#POS COP2SG*اعم+POS YEH COP2SG
اعمی‌ست	AJ$اعمی+POS COP3SG*اعم+POS YEH COP3SG
اعور	AJ$اعور+POS
اعورست	AJ$اعور+POS COP3SG
اعورش	AJ$اعور+POS PRO3SG
اعورم	AJ$اعور+POS PRO1SG#POS COP1SG
اعوری	AJ$اعور+POS YEH#POS COP2SG
اعیان	AJ$اعیان+POS
اعیانست	AJ$اعیان+POS COP3SG
اعیانم	AJ$اعیان+POS PRO1SG#POS COP1SG
اغبر	AJ$اغبر+POS
اغبرش	AJ$اغبر+POS PRO3SG
اغبرند	AJ$اغبر+POS COP3PL
اغبری	AJ$اغبر+POS YEH#POS COP2SG
اغر	AJ$اغر+POS
اغنی	AJ$اغنی+POS
افتاده	AJ$افتاده+POS
افتاده‌ئی	AJ$افتاده+POS YEH
افتاده‌است	AJ$افتاده+POS COP3SG
افتاده‌اش	AJ$افتاده+POS PRO3SG
افتاده‌ام	AJ$افتاده+POS PRO1SG#POS COP1SG
افتاده‌اند	AJ$افتاده+POS COP3PL
افتاده‌ای	AJ$افتاده+POS COP2SG
افتاده‌اید	AJ$افتاده+POS COP2PL
افتاده‌ایم	AJ$افتاده+POS COP1PL
افتاده‌تر	AJ$افتاده+COMP
افتاده‌ست	AJ$افتاده+POS COP3SG
افتاده‌ی	AJ$افتاده+POS EZ#POS COP2SG
افتان	AJ$افتان+POS
افتخاری	AJ$افتخاری+POS
افتضاح	AJ$افتضاح+POS
افتضاحی	AJ$افتضاح+POS YEH#POS COP2SG
افتنان	AJ$افتنان+POS
افخم	AJ$افخم+POS
افراخته	AJ$افراخته+POS
افراخته‌اش	AJ$افراخته+POS PRO3SG
افراخته‌ام	AJ$افراخته+POS PRO1SG#POS COP1SG
افراخته‌ای	AJ$افراخته+POS COP2SG
افراخته‌تر	AJ$افراخته+COMP
افراخته‌ست	AJ$افراخته+POS COP3SG
افراشته	AJ$افراشته+POS
افراشته‌ام	AJ$افراشته+POS PRO1SG#POS COP1SG
افراشته‌اند	AJ$افراشته+POS COP3PL
افراشته‌ای	AJ$افراشته+POS COP2SG
افراشته‌ی	AJ$افراشته+POS EZ#POS COP2SG
افرشته	AJ$افرشته+POS
افروخته	AJ$افروخته+POS
افروخته‌ئی	AJ$افروخته+POS YEH
افروخته‌ات	AJ$افروخته+POS PRO2SG
افروخته‌اش	AJ$افروخته+POS PRO3SG
افروخته‌اند	AJ$افروخته+POS COP3PL
افروخته‌ای	AJ$افروخته+POS COP2SG
افروخته‌تر	AJ$افروخته+COMP
افروخته‌ست	AJ$افروخته+POS COP3SG
افروخته‌ی	AJ$افروخته+POS EZ#POS COP2SG
افزاینده	AJ$افزاینده+POS
افزوده	AJ$افزوده+POS
افزوده‌ام	AJ$افزوده+POS PRO1SG#POS COP1SG
افزوده‌اند	AJ$افزوده+POS COP3PL
افزوده‌ای	AJ$افزوده+POS COP2SG
افزون	AJ$افزون+POS
افزونت	AJ$افزون+POS PRO2SG
افزونتر	AJ$افزون+COMP
افزونترست	AJ$افزون+COMP COP3SG
افزونتری	AJ$افزون+COMP COP2SG#COMP YEH
افزونتریم	AJ$افزون+COMP COP1PL#COMP YEH COP1SG
افزونست	AJ$افزون+POS COP3SG
افزونش	AJ$افزون+POS PRO3SG
افزونم	AJ$افزون+POS PRO1SG#POS COP1SG
افزونی	AJ$افزون+POS YEH#POS COP2SG
افزونید	AJ$افزون+POS COP2PL
افزونیست	AJ$افزون+POS YEH COP3SG
افزونیم	AJ$افزون+POS COP1PL#POS YEH COP1SG
افزونیند	AJ$افزون+POS YEH COP3PL
افزونیی	AJ$افزون+POS YEH COP2SG
افزونی‌ست	AJ$افزون+POS YEH COP3SG
افزون‌تر	AJ$افزون+COMP
افزون‌ترست	AJ$افزون+COMP COP3SG
افسانه‌ای	AJ$افسانه‌ای+POS
افسانه‌ایست	AJ$افسانه‌ای+POS COP3SG
افسانه‌ایم	AJ$افسانه‌ای+POS PRO1SG#POS COP1SG
افسانه‌ای‌ست	AJ$افسانه‌ای+POS COP3SG
افسرده	AJ$افسرده+POS
افسرده‌ام	AJ$افسرده+POS PRO1SG#POS COP1SG
افسرده‌اند	AJ$افسرده+POS COP3PL
افسرده‌ای	AJ$افسرده+POS COP2SG
افسرده‌ایم	AJ$افسرده+POS COP1PL
افسرده‌تر	AJ$افسرده+COMP
افسرده‌ست	AJ$افسرده+POS COP3SG
افسرده‌ی	AJ$افسرده+POS EZ#POS COP2SG
افسوسی	AJ$افسوسی+POS
افسوسیست	AJ$افسوسی+POS COP3SG
افسوسیی	AJ$افسوسی+POS EZ#POS COP2SG
افسونگر	AJ$افسونگر+POS
افسونگرت	AJ$افسونگر+POS PRO2SG
افسونگرست	AJ$افسونگر+POS COP3SG
افسونگرش	AJ$افسونگر+POS PRO3SG
افسونگرم	AJ$افسونگر+POS PRO1SG#POS COP1SG
افسونگری	AJ$افسونگر+POS YEH#POS COP2SG
افشانده	AJ$افشانده+POS
افشانده‌ام	AJ$افشانده+POS PRO1SG#POS COP1SG
افشانده‌اند	AJ$افشانده+POS COP3PL
افشانده‌ای	AJ$افشانده+POS COP2SG
افشانده‌ایم	AJ$افشانده+POS COP1PL
افشرده	AJ$افشرده+POS
افشرده‌ام	AJ$افشرده+POS PRO1SG#POS COP1SG
افشرده‌اند	AJ$افشرده+POS COP3PL
افشرده‌ای	AJ$افشرده+POS COP2SG
افشرده‌ایم	AJ$افشرده+POS COP1PL
افشرده‌ی	AJ$افشرده+POS EZ#POS COP2SG
افصح	AJ$افصح+POS
افصحست	AJ$افصح+POS COP3SG
افضل	AJ$افضل+POS
افضلم	AJ$افضل+POS PRO1SG#POS COP1SG
افضلی	AJ$افضل+POS YEH#POS COP2SG
افغانی	AJ$افغانی+POS
افقی	AJ$افقی+POS
افلاطونی	AJ$افلاطونی+POS
افلاکی	AJ$افلاکی+POS
افلاکیست	AJ$افلاکی+POS COP3SG
افواهی	AJ$افواهی+POS
افکار	AJ$افکار+POS
افکارم	AJ$افکار+POS PRO1SG#POS COP1SG
افکاری	AJ$افکار+POS YEH#POS COP2SG
افکنده	AJ$افکنده+POS
افکنده‌ئی	AJ$افکنده+POS YEH
افکنده‌ام	AJ$افکنده+POS PRO1SG#POS COP1SG
افکنده‌اند	AJ$افکنده+POS COP3PL
افکنده‌ای	AJ$افکنده+POS COP2SG
افکنده‌ایم	AJ$افکنده+POS COP1PL
افکنده‌ترم	AJ$افکنده+COMP COP1SG#COMP PRO1SG
افکنده‌ست	AJ$افکنده+POS COP3SG
افکنده‌ی	AJ$افکنده+POS EZ#POS COP2SG
افگار	AJ$افگار+POS
افگارش	AJ$افگار+POS PRO3SG
افگاری	AJ$افگار+POS YEH#POS COP2SG
افگاریست	AJ$افگار+POS YEH COP3SG
افیونی	AJ$افیونی+POS
اقدس	AJ$اقدس+POS
اقدست	AJ$اقدس+POS PRO2SG
اقدم	AJ$اقدم+POS
اقرب	AJ$اقرب+POS
اقربم	AJ$اقرب+POS PRO1SG#POS COP1SG
اقربی	AJ$اقرب+POS YEH#POS COP2SG
