آ	N$آ+SG#
آزتان	N$آزت+PL#آز+SG PRO2PL#
آزخ	N$آزخ+SG#
آزرده‌دل	AJ$آزرده‌دل+POS#
آزردگی	N$آزردگی+SG#
آزردگیی	N$آزردگی+SG EZ#SG COP2SG#
آزرم	N$آزرم+SG#
آزرمجوی	AJ$آزرمجو+POS EZ#POS COP2SG#
آزرمشان	N$آزرم+SG PRO3PL#
آزرمم	N$آزرم+SG PRO1SG#SG COP1SG#
آزرمها	N$آزرم+PL#
آزرمی	N$آزرم+SG YEH#SG COP2SG#آزرمی+SG#
آزست	N$آز+SG COP3SG#
آزش	N$آز+SG PRO3SG#
آزشان	N$آز+SG PRO3PL#
آزم	N$آز+SG PRO1SG#SG COP1SG#
آزما	N$آزما+SG#
آزمائی	N$آزما+SG YEH#
آزماست	N$آزما+SG COP3SG#
آزمای	N$آزما+SG EZ#SG COP2SG#
آزماید	N$آزما+SG COP2PL#
آزمایش	N$آزما+SG PRO3SG#
آزمایشی	AJ$آزمایشی+POS#N$آزما+SG PRO3SG COP2SG#SG PRO3SG YEH#
آزمایم	N$آزما+SG COP1PL#SG PRO1SG#
آزمایی	N$آزما+SG YEH#
آزماییست	N$آزما+SG YEH COP3SG#
آزماییی	N$آزما+SG YEH COP2SG#
آزمند	AJ$آزمند+POS#N$آز+SG PRO1SG COP3PL#
آزمندی	AJ$آزمند+POS COP2SG#POS YEH#N$آزمندی+SG#
آزمندیست	AJ$آزمند+POS YEH COP3SG#N$آزمندی+SG COP3SG#
آزمون	N$آزمون+SG#
آزمونش	N$آزمون+SG PRO3SG#
آزمونم	N$آزمون+SG PRO1SG#SG COP1SG#
آزمونه	N$آزمونه+SG#
آزند	N$آز+SG COP3PL#
آزها	N$آز+PL#
آزور	AJ$آزور+POS#
آزی	N$آز+SG YEH#SG COP2SG#
آسان	AJ$آسان+POS#
آسانت	AJ$آسان+POS PRO2SG#
آسانتر	AJ$آسان+COMP#
آسانترست	AJ$آسان+COMP COP3SG#
آسانست	AJ$آسان+POS COP3SG#
آسانش	AJ$آسان+POS PRO3SG#
آسانم	AJ$آسان+POS COP1SG#POS PRO1SG#
آسانند	AJ$آسان+POS COP3PL#
آسانی	AJ$آسان+POS COP2SG#POS YEH#N$آسانی+SG#
آسانیست	AJ$آسان+POS YEH COP3SG#N$آسانی+SG COP3SG#
آسانیم	AJ$آسان+POS COP1PL#POS YEH COP1SG#N$آسانی+SG COP1SG#
آسانیی	AJ$آسان+POS YEH COP2SG#N$آسانی+SG EZ#SG COP2SG#
آسانی‌ام	AJ$آسان+POS YEH COP1SG#N$آسانی+SG COP1SG#
آسان‌تر	AJ$آسان+COMP#
آسان‌ترست	AJ$آسان+COMP COP3SG#
آسان‌ترین	AJ$آسان+SUP#
آسایش	N$آسایش+SG#
آسایشت	N$آسایش+SG PRO2SG#
آسایشست	N$آسایش+SG COP3SG#
آسایشم	N$آسایش+SG PRO1SG#SG COP1SG#
آسایشند	N$آسایش+SG COP3PL#
آسایشی	N$آسایش+SG YEH#SG COP2SG#
آست	N$آ+SG COP3SG#
آستان	N$آستان+SG#
آستانت	N$آستان+SG PRO2SG#
آستانست	N$آستان+SG COP3SG#
آستانش	N$آستان+SG PRO3SG#
آستانم	N$آستان+SG PRO1SG#SG COP1SG#
آستانه	N$آستانه+SG#
آستانها	N$آستان+PL#
آستانه‌ات	N$آستانه+SG PRO2SG#
آستانه‌اش	N$آستانه+SG PRO3SG#
آستانه‌ای	N$آستانه+SG COP2SG#
آستانه‌ایم	N$آستانه+SG COP1PL#
آستانه‌ی	N$آستانه+SG EZ#SG COP2SG#
آستانی	N$آستان+SG YEH#SG COP2SG#
آستانیم	N$آستان+SG COP1PL#SG YEH COP1SG#
آستر	N$آستر+SG#
آسترش	N$آستر+SG PRO3SG#
آستری	AJ$آستری+POS#N$آستر+SG YEH#SG COP2SG#آستری+SG#
آستریست	AJ$آستری+POS COP3SG#N$آستر+SG YEH COP3SG#آستری+SG COP3SG#
آستی	N$آستی+SG#
آستین	N$آستین+SG#
آستینان	N$آستین+PL#
آستینت	N$آستین+SG PRO2SG#
آستینش	N$آستین+SG PRO3SG#
آستینم	N$آستین+SG PRO1SG#SG COP1SG#
آستینها	N$آستین+PL#
آستینهای	N$آستین+PL COP2SG#PL EZ#
آستینی	N$آستین+SG YEH#SG COP2SG#
آستینیم	N$آستین+SG COP1PL#SG YEH COP1SG#
آستین‌ها	N$آستین+PL#
آستیی	N$آستی+SG EZ#SG COP2SG#
آسمان	N$آسم+PL#آسمان+SG#
آسمانت	N$آسم+PL PRO2SG#آسمان+SG PRO2SG#
آسمانرا	N$آسم+PL POSTP#آسمان+SG POSTP#
آسمانست	N$آسم+PL COP3SG#آسمان+SG COP3SG#
آسمانش	N$آسم+PL PRO3SG#آسمان+SG PRO3SG#
آسمانشان	N$آسم+PL PRO3PL#آسمان+SG PRO3PL#
آسمانم	N$آسم+PL COP1SG#PL PRO1SG#آسمان+SG PRO1SG#SG COP1SG#
آسمانند	N$آسم+PL COP3PL#آسمان+SG COP3PL#
آسمانه	N$آسمانه+SG#
آسمانها	N$آسمان+PL#
آسمانهای	N$آسمان+PL COP2SG#PL EZ#
آسمانه‌ی	N$آسمانه+SG EZ#SG COP2SG#
آسمانی	AJ$آسمانی+POS#N$آسم+PL YEH#PL COP2SG#آسمان+SG YEH#SG COP2SG#
آسمانیست	AJ$آسمانی+POS COP3SG#N$آسم+PL YEH COP3SG#آسمان+SG YEH COP3SG#
آسمانیم	AJ$آسمانی+POS COP1SG#N$آسم+PL COP1PL#PL YEH COP1SG#آسمان+SG COP1PL#SG YEH COP1SG#
آسمانیی	AJ$آسمانی+POS EZ#POS COP2SG#N$آسم+PL YEH COP2SG#آسمان+SG YEH COP2SG#
آسمان‌اند	N$آسم+PL COP3PL#آسمان+SG COP3PL#
آسمان‌ها	N$آسمان+PL#
آسوده‌حال	AJ$آسوده‌حال+POS#
آسوده‌خاطر	AJ$آسوده‌خاطر+POS#
آسوده‌دل	AJ$آسوده‌دل+POS#
آسودگی	N$آسودگی+SG#
آسودگیست	N$آسودگی+SG COP3SG#
آسی	N$آسی+SG#
آسیا	N$آسیا+SG#
آسیائی	N$آسیا+SG YEH#
آسیاب	N$آسیاب+SG#
آسیابان	N$آسیاب+PL#آسیابان+SG#
آسیابست	N$آسیاب+SG COP3SG#
آسیابشان	N$آسیاب+SG PRO3PL#
آسیابی	AJ$آسیابی+POS#N$آسیاب+SG YEH#SG COP2SG#
آسیاست	N$آسیا+SG COP3SG#
آسیاسنگی	N$آسیاسنگ+SG YEH#SG COP2SG#
آسیاها	N$آسیا+PL#
آسیاهائی	N$آسیا+PL YEH#
آسیای	N$آسیا+SG EZ#SG COP2SG#
آسیایی	AJ$آسیایی+POS#N$آسیا+SG YEH#آسیایی+SG#
آسیاییم	AJ$آسیایی+POS COP1SG#N$آسیا+SG YEH COP1SG#آسیایی+SG COP1SG#
آسیب	N$آسیب+SG#
آسیبت	N$آسیب+SG PRO2SG#
آسیبست	N$آسیب+SG COP3SG#
آسیبش	N$آسیب+SG PRO3SG#
آسیبشان	N$آسیب+SG PRO3PL#
آسیبی	N$آسیب+SG YEH#SG COP2SG#
آسیمه	AJ$آسیمه+POS#
آش	N$آش+SG#آ+SG PRO3SG#
آشام	N$آشام+SG#
آشامان	N$آشام+PL#
آشامانیم	N$آشام+PL COP1PL#PL YEH COP1SG#
آشامت	N$آشام+SG PRO2SG#
آشامش	N$آشام+SG PRO3SG#
آشامشان	N$آشام+SG PRO3PL#
آشامم	N$آشام+SG PRO1SG#SG COP1SG#
آشامند	N$آشام+SG COP3PL#
آشامی	N$آشام+SG YEH#SG COP2SG#
آشامید	N$آشام+SG COP2PL#
آشامیم	N$آشام+SG COP1PL#SG YEH COP1SG#
آشتم	N$آش+SG PRO2SG COP1SG#
آشتی	N$آشتی+SG#آش+SG PRO2SG COP2SG#SG PRO2SG YEH#
آشتیست	N$آشتی+SG COP3SG#آش+SG PRO2SG YEH COP3SG#
آشتیی	N$آشتی+SG EZ#SG COP2SG#آش+SG PRO2SG YEH COP2SG#
آشتی‌ای	N$آشتی+SG COP2SG#آش+SG PRO2SG YEH COP2SG#
آشفته	AJ$آشفته+POS#N$آشفته+SG#
آشفته‌ئی	AJ$آشفته+POS YEH#N$آشفته+SG YEH#
آشفته‌ام	AJ$آشفته+POS COP1SG#POS PRO1SG#N$آشفته+SG PRO1SG#SG COP1SG#
آشفته‌اند	AJ$آشفته+POS COP3PL#N$آشفته+SG COP3PL#
آشفته‌ای	AJ$آشفته+POS COP2SG#N$آشفته+SG COP2SG#
آشفته‌اید	AJ$آشفته+POS COP2PL#N$آشفته+SG COP2PL#
آشفته‌ایم	AJ$آشفته+POS COP1PL#N$آشفته+SG COP1PL#
آشفته‌تر	AJ$آشفته+COMP#
آشفته‌حال	AJ$آشفته‌حال+POS#
آشفته‌حالی	AJ$آشفته‌حال+POS COP2SG#POS YEH#
آشفته‌دل	AJ$آشفته‌دل+POS#
آشفته‌ی	AJ$آشفته+POS EZ#POS COP2SG#N$آشفته+SG EZ#SG COP2SG#
آشفتگان	N$آشفته+PL#
آشفتگی	N$آشفتگی+SG#
آشفتگیم	N$آشفتگی+SG COP1SG#
آشمان	N$آش+SG PRO1PL#
آشمید	N$آش+SG PRO1SG COP2PL#
آشنا	AJ$آشنا+POS#N$آشنا+SG#
آشنائی	AJ$آشنا+POS YEH#N$آشنا+SG YEH#
آشنائیست	AJ$آشنا+POS YEH COP3SG#N$آشنا+SG YEH COP3SG#
آشنائیم	AJ$آشنا+POS YEH COP1SG#N$آشنا+SG YEH COP1SG#
آشناتری	AJ$آشنا+COMP COP2SG#COMP YEH#
آشنارو	AJ$آشنارو+POS#N$آشنارو+SG#
آشنارویی	AJ$آشناروی+POS EZ#POS COP2SG#آشنارو+POS YEH#N$آشناروی+SG EZ#SG COP2SG#آشنارو+SG YEH#
آشناست	AJ$آشنا+POS COP3SG#N$آشنا+SG COP3SG#
آشناه	N$آشناه+SG#
آشناهاست	N$آشنا+PL COP3SG#
آشناور	N$آشناور+SG#
آشنای	AJ$آشنا+POS EZ#POS COP2SG#N$آشنا+SG EZ#SG COP2SG#
آشنایش	AJ$آشنا+POS PRO3SG#N$آشنا+SG PRO3SG#
آشنایی	AJ$آشنا+POS YEH#N$آشنایی+SG#آشنا+SG YEH#
آشناییم	AJ$آشنا+POS YEH COP1SG#N$آشنایی+SG COP1SG#آشنا+SG YEH COP1SG#
آشناییهای	N$آشنایی+PL COP2SG#PL EZ#
آشناییی	AJ$آشنا+POS YEH COP2SG#N$آشنایی+SG EZ#SG COP2SG#آشنا+SG YEH COP2SG#
آشنایی‌ای	AJ$آشنا+POS YEH COP2SG#N$آشنایی+SG COP2SG#آشنا+SG YEH COP2SG#
آشنایی‌هاست	N$آشنایی+PL COP3SG#
آشنایی‌های	N$آشنایی+PL COP2SG#PL EZ#
آشوب	N$آشوب+SG#
آشوبت	N$آشوب+SG PRO2SG#
آشوبست	N$آشوب+SG COP3SG#
آشوبشان	N$آشوب+SG PRO3PL#
آشوبناک	AJ$آشوبناک+POS#
آشوبهای	N$آشوب+PL COP2SG#PL EZ#
آشوبی	AJ$آشوبی+POS#N$آشوب+SG YEH#SG COP2SG#
آشپز	N$آشپز+SG#
آشپزیست	AJ$آشپزی+POS COP3SG#N$آشپز+SG YEH COP3SG#آشپزی+SG COP3SG#
آشکار	AJ$آشکار+POS#N$آشکار+SG#
آشکارا	AJ$آشکارا+POS#N$آشکارا+SG#
آشکارائی	AJ$آشکارا+POS YEH#N$آشکارا+SG YEH#
آشکاراست	AJ$آشکارا+POS COP3SG#N$آشکارا+SG COP3SG#
آشکارای	AJ$آشکارا+POS EZ#POS COP2SG#N$آشکارا+SG EZ#SG COP2SG#
آشکارایی	AJ$آشکارا+POS YEH#N$آشکارا+SG YEH#
آشکارت	AJ$آشکار+POS PRO2SG#N$آشکار+SG PRO2SG#
آشکارست	AJ$آشکار+POS COP3SG#N$آشکار+SG COP3SG#
آشکارش	AJ$آشکار+POS PRO3SG#N$آشکار+SG PRO3SG#
آشکارم	AJ$آشکار+POS COP1SG#POS PRO1SG#N$آشکار+SG PRO1SG#SG COP1SG#
آشکاری	AJ$آشکار+POS COP2SG#POS YEH#N$آشکار+SG YEH#SG COP2SG#
آشکاریست	AJ$آشکار+POS YEH COP3SG#N$آشکار+SG YEH COP3SG#
آشکاریم	AJ$آشکار+POS COP1PL#POS YEH COP1SG#N$آشکار+SG COP1PL#SG YEH COP1SG#
آشی	N$آش+SG YEH#SG COP2SG#آ+SG PRO3SG COP2SG#SG PRO3SG YEH#
آشیان	N$آشیان+SG#
آشیانت	N$آشیان+SG PRO2SG#
آشیانرا	N$آشیان+SG POSTP#
آشیانست	N$آشیان+SG COP3SG#
آشیانش	N$آشیان+SG PRO3SG#
آشیانم	N$آشیان+SG PRO1SG#SG COP1SG#
آشیانها	N$آشیان+PL#
آشیانهای	N$آشیان+PL COP2SG#PL EZ#
آشیانی	N$آشیان+SG YEH#SG COP2SG#
آشیانیم	N$آشیان+SG COP1PL#SG YEH COP1SG#
آشیانی‌ست	N$آشیان+SG YEH COP3SG#
آشیان‌ها	N$آشیان+PL#
آش‌های	N$آش+PL COP2SG#PL EZ#
آصف	N$آصف+SG#
آصفان	N$آصف+PL#
آصفست	N$آصف+SG COP3SG#
آصفش	N$آصف+SG PRO3SG#
آصفم	N$آصف+SG PRO1SG#SG COP1SG#
آصفی	N$آصف+SG YEH#SG COP2SG#
آغا	N$آغا+SG#
آغار	AJ$آغار+POS#N$آغار+SG#
آغارم	AJ$آغار+POS COP1SG#POS PRO1SG#N$آغار+SG PRO1SG#SG COP1SG#
آغاز	N$آغاز+SG#
آغازتان	N$آغاز+SG PRO2PL#
آغازش	N$آغازش+SG#آغاز+SG PRO3SG#
آغازشان	N$آغازش+PL#آغاز+SG PRO3PL#
آغازم	N$آغاز+SG PRO1SG#SG COP1SG#
آغازی	N$آغاز+SG YEH#SG COP2SG#
آغازید	N$آغاز+SG COP2PL#
آغازیم	N$آغاز+SG COP1PL#SG YEH COP1SG#
آغشته	AJ$آغشته+POS#
آغشته‌ئی	AJ$آغشته+POS YEH#
آغشته‌ام	AJ$آغشته+POS COP1SG#POS PRO1SG#
آغشته‌اند	AJ$آغشته+POS COP3PL#
آغشته‌ای	AJ$آغشته+POS COP2SG#
آغشته‌ایم	AJ$آغشته+POS COP1PL#
آغشته‌تر	AJ$آغشته+COMP#
آغشته‌ست	AJ$آغشته+POS COP3SG#
آغل	N$آغل+SG#
آغلها	N$آغل+PL#
آغوش	N$آغوش+SG#
آغوشت	N$آغوش+SG PRO2SG#
آغوشش	N$آغوش+SG PRO3SG#
آغوششان	N$آغوش+SG PRO3PL#
آغوشم	N$آغوش+SG PRO1SG#SG COP1SG#
آغوشند	N$آغوش+SG COP3PL#
آغوشی	N$آغوش+SG YEH#SG COP2SG#
آفات	N$آفت+PL#آفات+SG#
آفاتت	N$آفت+PL PRO2SG#آفات+SG PRO2SG#
آفاتست	N$آفت+PL COP3SG#آفات+SG COP3SG#
آفاتش	N$آفت+PL PRO3SG#آفات+SG PRO3SG#
آفاتشان	N$آفت+PL PRO3PL#آفات+SG PRO3PL#
آفاتم	N$آفت+PL COP1SG#PL PRO1SG#آفات+SG PRO1SG#SG COP1SG#
آفاتها	N$آفات+PL#
آفاق	N$افق+PL#آفاق+SG#
آفاقش	N$افق+PL PRO3SG#آفاق+SG PRO3SG#
آفاقم	N$افق+PL COP1SG#PL PRO1SG#آفاق+SG PRO1SG#SG COP1SG#
آفاقند	N$افق+PL COP3PL#آفاق+SG COP3PL#
آفاقی	AJ$آفاقی+POS#N$افق+PL YEH#PL COP2SG#آفاق+SG YEH#SG COP2SG#
آفاقیست	AJ$آفاقی+POS COP3SG#N$افق+PL YEH COP3SG#آفاق+SG YEH COP3SG#
آفاقیم	AJ$آفاقی+POS COP1SG#N$افق+PL COP1PL#PL YEH COP1SG#آفاق+SG COP1PL#SG YEH COP1SG#
آفت	N$آفت+SG#
آفتاب	N$آفتاب+SG#
آفتابانند	N$آفتاب+PL COP3PL#
آفتابت	N$آفتاب+SG PRO2SG#
آفتابست	N$آفتاب+SG COP3SG#
آفتابش	N$آفتاب+SG PRO3SG#
آفتابشان	N$آفتاب+SG PRO3PL#
آفتابم	N$آفتاب+SG PRO1SG#SG COP1SG#
آفتابند	N$آفتاب+SG COP3PL#
آفتابها	N$آفتاب+PL#
آفتابی	AJ$آفتابی+POS#N$آفتاب+SG YEH#SG COP2SG#
آفتابیست	AJ$آفتابی+POS COP3SG#N$آفتاب+SG YEH COP3SG#
آفتابیم	AJ$آفتابی+POS COP1SG#N$آفتاب+SG COP1PL#SG YEH COP1SG#
آفتابی‌ست	AJ$آفتابی+POS COP3SG#N$آفتاب+SG YEH COP3SG#
آفتاب‌روی	AJ$آفتاب‌رو+POS EZ#POS COP2SG#N$آفتاب‌رو+SG EZ#SG COP2SG#
آفتاب‌ها	N$آفتاب+PL#
آفتاب‌پرست	AJ$آفتاب‌پرست+POS#N$آفتاب‌پرست+SG#
آفتاب‌گیر	AJ$آفتاب‌گیر+POS#
آفتست	N$آفت+SG COP3SG#
آفتش	N$آفت+SG PRO3SG#
آفتم	N$آفت+SG PRO1SG#SG COP1SG#
آفتها	N$آفت+PL#
آفتهای	N$آفت+PL COP2SG#PL EZ#
آفتی	N$آفت+SG YEH#SG COP2SG#
آفتیست	N$آفت+SG YEH COP3SG#
آفت‌هاست	N$آفت+PL COP3SG#
آفت‌های	N$آفت+PL COP2SG#PL EZ#
آفروشه	N$آفروشه+SG#
آفروشه‌ای	N$آفروشه+SG COP2SG#
آفریده	N$آفریده+SG#
آفریده‌ام	N$آفریده+SG PRO1SG#SG COP1SG#
آفریده‌اند	N$آفریده+SG COP3PL#
آفریده‌ای	N$آفریده+SG COP2SG#
آفریده‌ست	N$آفریده+SG COP3SG#
آفریده‌ی	N$آفریده+SG EZ#SG COP2SG#
آفریدگار	N$آفریدگار+SG#
آفریدگارم	N$آفریدگار+SG PRO1SG#SG COP1SG#
آفریدگان	N$آفریده+PL#
آفرین	N$آفرین+SG#
آفرینت	N$آفرین+SG PRO2SG#
آفرینست	N$آفرین+SG COP3SG#
آفرینش	N$آفرینش+SG#آفرین+SG PRO3SG#
آفرینشت	N$آفرینش+SG PRO2SG#
آفرینش‌های	N$آفرینش+PL COP2SG#PL EZ#
آفرینم	N$آفرین+SG PRO1SG#SG COP1SG#
آفرینند	N$آفرین+SG COP3PL#
آفریننده	N$آفریننده+SG#
آفریننده‌ام	N$آفریننده+SG PRO1SG#SG COP1SG#
آفریننده‌ای	N$آفریننده+SG COP2SG#
آفریننده‌ی	N$آفریننده+SG EZ#SG COP2SG#
آفرینها	N$آفرین+PL#
آفرینهای	N$آفرین+PL COP2SG#PL EZ#
آفرینی	N$آفرین+SG YEH#SG COP2SG#
آفرینیم	N$آفرین+SG COP1PL#SG YEH COP1SG#
آفرین‌ها	N$آفرین+PL#
آفسانه	N$آفسانه+SG#
آفل	AJ$آفل+POS#
آفلند	AJ$آفل+POS COP3PL#
آفلی	AJ$آفل+POS COP2SG#POS YEH#
آفند	N$آفند+SG#
آفندی	N$آفند+SG YEH#SG COP2SG#
آق	AJ$آق+POS#N$آق+SG#
آقا	N$آقا+SG#
آقچه	N$آقچه+SG#
آقچه‌ی	N$آقچه+SG EZ#SG COP2SG#
آل	AJ$آل+POS#N$آل+SG#
آلا	N$آلا+SG#
آلائی	N$آلا+SG YEH#
آلائیست	N$آلا+SG YEH COP3SG#
آلات	N$آلت+PL#آله+PL#آلات+SG#
آلاتها	N$آلات+PL#
آلاجق	N$آلاجق+SG#
آلاجقی	N$آلاجق+SG YEH#SG COP2SG#
آلاست	N$آلا+SG COP3SG#آلاس+SG PRO2SG#
آلاف	N$آلاف+SG#الف+PL#
آلاله	N$آلاله+SG#
آلاله‌ای	N$آلاله+SG COP2SG#
آلاله‌ی	N$آلاله+SG EZ#SG COP2SG#
آلام	N$آلام+SG#آلا+SG COP1SG#الم+PL#
آلان	N$آل+PL#
آلاوه	N$آلاوه+SG#
آلای	N$آلا+SG EZ#SG COP2SG#
آلاید	N$آلا+SG COP2PL#
آلایش	N$آلا+SG PRO3SG#
آلایشم	N$آلا+SG PRO3SG COP1SG#
آلایشی	N$آلا+SG PRO3SG COP2SG#SG PRO3SG YEH#
آلایم	N$آلا+SG COP1PL#SG PRO1SG#
آلایی	N$آلا+SG YEH#
آلاییست	N$آلا+SG YEH COP3SG#
آلاییی	N$آلا+SG YEH COP2SG#
آلت	AJ$آل+POS PRO2SG#N$آلت+SG#آل+SG PRO2SG#
آلتان	AJ$آل+POS PRO2PL#N$آلت+PL#آل+SG PRO2PL#
آلتت	N$آلت+SG PRO2SG#
آلتست	AJ$آل+POS PRO2SG COP3SG#N$آلت+SG COP3SG#آل+SG PRO2SG COP3SG#
آلتش	N$آلت+SG PRO3SG#
آلتون	N$آلتون+SG#
آلتی	AJ$آل+POS PRO2SG COP2SG#POS PRO2SG YEH#N$آلت+SG YEH#SG COP2SG#آل+SG PRO2SG COP2SG#SG PRO2SG YEH#
آلتیست	AJ$آل+POS PRO2SG YEH COP3SG#N$آلت+SG YEH COP3SG#آل+SG PRO2SG YEH COP3SG#
آلت‌اند	AJ$آل+POS PRO2SG COP3PL#N$آلت+SG COP3PL#آل+SG PRO2SG COP3PL#
آلش	AJ$آل+POS PRO3SG#N$آلش+SG#آل+SG PRO3SG#
آلفا	N$آلفا+SG#
آلم	AJ$آل+POS COP1SG#POS PRO1SG#N$آل+SG PRO1SG#SG COP1SG#
آلند	AJ$آل+POS COP3PL#N$آل+SG COP3PL#
آله	N$آله+SG#
آلو	N$آلو+SG#
آلود	AJ$آلود+POS#
آلودت	AJ$آلود+POS PRO2SG#
آلودست	AJ$آلود+POS COP3SG#
آلودش	AJ$آلود+POS PRO3SG#
آلودشان	AJ$آلود+POS PRO3PL#
آلودم	AJ$آلود+POS COP1SG#POS PRO1SG#
آلودمی	AJ$آلود+POS PRO1SG COP2SG#POS PRO1SG YEH#
آلوده	AJ$آلوده+POS#
آلوده‌ئی	AJ$آلوده+POS YEH#
آلوده‌اش	AJ$آلوده+POS PRO3SG#
آلوده‌ام	AJ$آلوده+POS COP1SG#POS PRO1SG#
آلوده‌اند	AJ$آلوده+POS COP3PL#
آلوده‌ای	AJ$آلوده+POS COP2SG#
آلوده‌ایم	AJ$آلوده+POS COP1PL#
آلوده‌دامان	AJ$آلوده‌دامان+POS#
آلوده‌دامن	AJ$آلوده‌دامن+POS#N$آلوده‌دامن+SG#
آلوده‌ست	AJ$آلوده+POS COP3SG#
آلوده‌ی	AJ$آلوده+POS EZ#POS COP2SG#
آلودگی	N$آلودگی+SG#
آلودگیست	N$آلودگی+SG COP3SG#
آلودگیها	N$آلودگی+PL#
آلودگیهای	N$آلودگی+PL COP2SG#PL EZ#
آلودگی‌ها	N$آلودگی+PL#
آلودی	AJ$آلود+POS COP2SG#POS YEH#
آلودیم	AJ$آلود+POS COP1PL#POS YEH COP1SG#
آلوی	N$آلو+SG EZ#SG COP2SG#
آلویی	N$آلو+SG YEH#
آلی	AJ$آلی+POS#آل+POS COP2SG#POS YEH#N$آل+SG YEH#SG COP2SG#
آماج	N$آماج+SG#
آماجم	N$آماج+SG PRO1SG#SG COP1SG#
آماجگاه	N$آماجگاه+SG#
آماده	AJ$آماده+POS#
آماده‌ام	AJ$آماده+POS COP1SG#POS PRO1SG#
آماده‌ای	AJ$آماده+POS COP2SG#
آماده‌ایم	AJ$آماده+POS COP1PL#
آماده‌تر	AJ$آماده+COMP#
آماده‌ست	AJ$آماده+POS COP3SG#
آماده‌ی	AJ$آماده+POS EZ#POS COP2SG#
آمادگی	N$آمادگی+SG#
آمار	N$آمار+SG#
آماس	N$آماس+SG#
آمال	N$آمال+SG#امل+PL#
آمالش	N$آمال+SG PRO3SG#امل+PL PRO3SG#
آمالم	N$آمال+SG PRO1SG#SG COP1SG#امل+PL COP1SG#PL PRO1SG#
آمالها	N$آمال+PL#
آمالی	N$آمال+SG YEH#SG COP2SG#امل+PL YEH#PL COP2SG#
آمال‌ها	N$آمال+PL#
آمد	N$آمد+SG#
آمدت	N$آمد+SG PRO2SG#
آمدست	N$آمد+SG COP3SG#
آمدش	N$آمد+SG PRO3SG#
آمدشان	N$آمد+SG PRO3PL#
آمدم	N$آمد+SG PRO1SG#SG COP1SG#
آمدمی	N$آمد+SG PRO1SG COP2SG#SG PRO1SG YEH#
آمدند	N$آمد+SG COP3PL#
آمدی	N$آمد+SG YEH#SG COP2SG#
آمدید	N$آمد+SG COP2PL#
آمدیم	N$آمد+SG COP1PL#SG YEH COP1SG#
آمدی‌ای	N$آمد+SG YEH COP2SG#
آمر	AJ$آمر+POS#N$آمر+SG#
آمرت	AJ$آمر+POS PRO2SG#N$آمر+SG PRO2SG#
آمرزش	N$آمرزش+SG#
آمرزشم	N$آمرزش+SG PRO1SG#SG COP1SG#
آمرزگار	AJ$آمرزگار+POS#N$آمرزگار+SG#
آمرزگارم	AJ$آمرزگار+POS COP1SG#POS PRO1SG#N$آمرزگار+SG PRO1SG#SG COP1SG#
آمرزگاری	AJ$آمرزگار+POS COP2SG#POS YEH#N$آمرزگار+SG YEH#SG COP2SG#
آمرزیده	N$آمرزیده+SG#
آمرزیده‌ی	N$آمرزیده+SG EZ#SG COP2SG#
آمرست	AJ$آمر+POS COP3SG#N$آمر+SG COP3SG#
آمرود	N$آمرود+SG#
آمری	AJ$آمر+POS COP2SG#POS YEH#N$آمر+SG YEH#SG COP2SG#
آمل	AJ$آمل+POS#N$آمل+SG#
آمن	AJ$آمن+POS#
آمنت	AJ$آمن+POS PRO2SG#
آمنست	AJ$آمن+POS COP3SG#
آمنم	AJ$آمن+POS COP1SG#POS PRO1SG#
آمنه	N$آمنه+SG#
آمنی	AJ$آمن+POS COP2SG#POS YEH#
آمنیست	AJ$آمن+POS YEH COP3SG#
آمه	N$آمه+SG#
آموخته	AJ$آموخته+POS#
آموخته‌ام	AJ$آموخته+POS COP1SG#POS PRO1SG#
آموخته‌اند	AJ$آموخته+POS COP3PL#
آموخته‌ای	AJ$آموخته+POS COP2SG#
آموخته‌ایم	AJ$آموخته+POS COP1PL#
آموخته‌تر	AJ$آموخته+COMP#
آموخته‌ست	AJ$آموخته+POS COP3SG#
آموز	N$آموز+SG#
آموزان	N$آموز+PL#آموزان+SG#
آموزت	N$آموز+SG PRO2SG#
آموزش	N$آموزش+SG#آموز+SG PRO3SG#
آموزشت	N$آموزش+SG PRO2SG#
آموزشی	AJ$آموزشی+POS#N$آموزش+SG YEH#SG COP2SG#آموز+SG PRO3SG COP2SG#SG PRO3SG YEH#
آموزم	N$آموز+SG PRO1SG#SG COP1SG#
آموزند	N$آموز+SG COP3PL#
آموزگار	N$آموزگار+SG#
آموزگاران	N$آموزگار+PL#
آموزگارت	N$آموزگار+SG PRO2SG#
آموزگارش	N$آموزگار+SG PRO3SG#
آموزگاری	N$آموزگاری+SG#آموزگار+SG YEH#SG COP2SG#
آموزگاریست	N$آموزگاری+SG COP3SG#آموزگار+SG YEH COP3SG#
آموزی	N$آموز+SG YEH#SG COP2SG#
آموزید	N$آموز+SG COP2PL#
آموزیم	N$آموز+SG COP1PL#SG YEH COP1SG#
آمون	N$آمون+SG#
آمیخته	AJ$آمیخته+POS#N$آمیخته+SG#
آمیخته‌ام	AJ$آمیخته+POS COP1SG#POS PRO1SG#N$آمیخته+SG PRO1SG#SG COP1SG#
آمیخته‌اند	AJ$آمیخته+POS COP3PL#N$آمیخته+SG COP3PL#
آمیخته‌ای	AJ$آمیخته+POS COP2SG#N$آمیخته+SG COP2SG#
